2024-12-01 17:16:35, Missing Person, Unknown, 37.7749, -122.4194
2024-12-02 01:13:21, Missing Person, Unknown, 37.7749, -122.4194
2024-12-02 01:13:29, Missing Person, Unknown, 37.7749, -122.4194
2024-12-02 01:13:41, Missing Person, Unknown, 37.7749, -122.4194
2024-12-02 01:13:52, Missing Person, Unknown, 37.7749, -122.4194
2024-12-02 01:13:57, Criminal, cc, 37.7749, -122.4194
2024-12-02 01:14:13, Criminal, rj, 37.7749, -122.4194
2024-12-02 01:14:26, Criminal, cc, 37.7749, -122.4194
2024-12-02 01:14:40, Criminal, rj, 37.7749, -122.4194
2024-12-02 01:15:50, Criminal, cc, 37.7749, -122.4194
2024-12-02 01:16:05, Criminal, rj, 37.7749, -122.4194
2024-12-02 01:16:21, Criminal, cc, 37.7749, -122.4194
2024-12-02 01:16:35, Criminal, rj, 37.7749, -122.4194
2024-12-02 01:16:42, Criminal, cc, 37.7749, -122.4194
2024-12-02 01:16:52, Criminal, rj, 37.7749, -122.4194
2024-12-02 01:16:58, Criminal, cc, 37.7749, -122.4194
2024-12-02 01:17:09, Criminal, rj, 37.7749, -122.4194
2024-12-02 01:18:07, Missing Person, Unknown, 37.7749, -122.4194
2024-12-02 01:18:15, Missing Person, Unknown, 37.7749, -122.4194
2024-12-02 01:18:33, Missing Person, Unknown, 37.7749, -122.4194
2024-12-02 01:18:46, Missing Person, Unknown, 37.7749, -122.4194
2024-12-02 01:19:02, Missing Person, Unknown, 37.7749, -122.4194
2024-12-02 01:33:32, Criminal, cc, 37.7749, -122.4194
2024-12-02 01:33:47, Criminal, rj, 37.7749, -122.4194
2024-12-02 01:33:56, Criminal, cc, 37.7749, -122.4194
2024-12-02 01:34:05, Criminal, rj, 37.7749, -122.4194
2024-12-02 01:34:11, Criminal, cc, 37.7749, -122.4194
2024-12-02 01:34:20, Criminal, rj, 37.7749, -122.4194
2024-12-02 01:35:15, Criminal, cc, 37.7749, -122.4194
2024-12-02 01:36:29, Criminal, danishssss, 37.7749, -122.4194
2024-12-02 01:38:23, Missing Person, Unknown, 37.7749, -122.4194
2024-12-02 01:38:29, Missing Person, Unknown, 37.7749, -122.4194
2024-12-02 01:38:36, Missing Person, Unknown, 37.7749, -122.4194
2024-12-02 01:38:41, Missing Person, Unknown, 37.7749, -122.4194
2024-12-02 01:38:55, Missing Person, Unknown, 37.7749, -122.4194
2024-12-03 15:03:47, Missing Person, Unknown, 37.7749, -122.4194
2024-12-03 15:04:11, Missing Person, Unknown, 37.7749, -122.4194
2024-12-03 15:04:20, Missing Person, Unknown, 37.7749, -122.4194
2024-12-03 15:04:29, Missing Person, Unknown, 37.7749, -122.4194
2024-12-03 15:04:37, Missing Person, Unknown, 37.7749, -122.4194
2024-12-03 15:05:13, Missing Person, Unknown, 37.7749, -122.4194
2024-12-03 15:05:21, Missing Person, Unknown, 37.7749, -122.4194
2024-12-03 15:05:30, Missing Person, Unknown, 37.7749, -122.4194
2024-12-03 15:05:39, Missing Person, Unknown, 37.7749, -122.4194
2024-12-03 15:05:51, Missing Person, Unknown, 37.7749, -122.4194
2024-12-03 15:05:58, Missing Person, Unknown, 37.7749, -122.4194
2024-12-03 15:06:05, Missing Person, Unknown, 37.7749, -122.4194
2024-12-03 15:06:13, Missing Person, Unknown, 37.7749, -122.4194
2024-12-03 15:06:20, Missing Person, Unknown, 37.7749, -122.4194
